//  ST | dac-settings | dac-readings | adc-readings | pot-settings
//for every group except the pot, ignore the first value.
//send p1000
ST|4095,1915,1902,1918,1831,1853,1853,|0,1002,1002,1001,1001,1002,1002,|0,85,98,82,169,147,147,|255,255,255,255,255,255,
ST|4095,2738,2706,2743,2556,2592,2592,|0,1918,1906,1920,1834,1856,1857,|0,177,196,175,275,261,261,|255,255,255,255,255,255,
ST|4095,3511,3458,3519,3241,3286,3286,|0,2742,2710,2746,2559,2595,2596,|0,227,248,224,315,306,306,|255,255,255,255,255,255,
ST|4095,4000,4000,4000,3882,3936,3936,|0,3515,3463,3522,3244,3290,3291,|0,267,287,266,359,350,350,|235,235,235,255,255,255,
ST|4095,4000,4000,4000,4000,4000,4000,|0,4005,4005,4003,3887,3940,3941,|3,303,327,303,415,408,408,|215,215,215,235,235,235,
ST|4095,4000,4000,4000,4000,4000,4000,|0,4003,4003,4003,4003,4004,4004,|6,337,368,335,475,481,481,|195,195,195,215,215,215,
ST|4095,4000,4000,4000,4000,4000,4000,|0,4003,4004,4002,4003,4002,4004,|11,377,420,374,575,650,649,|175,175,175,195,195,195,
ST|4095,4000,4000,4000,4000,4000,4000,|0,4003,4004,4001,4002,4002,4003,|17,434,499,414,704,817,818,|155,155,155,175,175,175,
ST|4095,4000,4000,4000,4000,4000,4000,|0,4002,4003,4000,4002,4001,4001,|0,544,768,448,800,871,868,|135,135,135,155,155,155,
ST|4095,4000,4000,4000,4000,4000,4000,|0,4001,4002,4000,4000,4000,4001,|0,768,768,512,768,768,768,|115,115,115,135,135,135,
ST|4095,4000,4000,4000,4000,4000,4000,|0,4002,4003,3998,4001,4000,4001,|0,0,0,0,0,0,0,|95,95,95,115,115,115,                  //ADCs drop to 0
ST|4095,4000,4000,4000,4000,4000,4000,|0,4006,4008,4002,4002,4002,4004,|0,0,0,0,0,0,0,|75,75,75,95,95,95,
ST|4095,4000,4000,4000,4000,4000,4000,|0,4030,4034,4023,4024,4024,4028,|0,0,0,0,0,0,0,|55,55,55,75,75,75,
ST|4095,4000,4000,4000,4000,4000,4000,|0,4044,4048,4033,4034,4035,4039,|0,0,0,0,0,0,0,|35,35,35,55,55,55,
ST|4095,4000,4000,4000,4000,4000,4000,|0,4054,4059,4040,4045,4044,4050,|0,0,0,0,0,0,0,|15,15,15,35,35,35,
ST|4095,4000,4000,4000,4000,4000,4000,|0,4035,4043,4023,4053,4052,4061,|0,0,0,0,0,0,0,|0,0,0,15,15,15,
ST|4095,4000,4000,4000,4000,4000,4000,|0,2311,2335,2303,3637,3615,3638,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,                //DACs drop to 0, resistance bottoms out, dac-settings stay at max
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,0,0,0,0,0,0,|0,0,0,0,0,0,0,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,39,71,15,63,63,15,|2047,0,134,159,63,15,31,|0,0,0,0,0,0,        //DAC and ADC start to change
ST|4095,4000,4000,4000,4000,4000,4000,|0,31,15,63,39,7,39,|0,147,159,63,39,63,63,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,31,7,63,63,15,39,|0,159,199,63,39,7,63,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,31,31,1,63,39,63,|0,159,159,63,63,36,135,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,31,31,7,63,63,63,|0,159,199,63,63,39,63,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,31,31,63,63,63,63,|0,159,199,63,63,63,128,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,71,31,7,63,63,63,|0,159,255,128,63,63,131,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,71,31,7,63,63,63,|0,199,255,135,63,63,135,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,103,31,31,63,63,15,|0,159,255,143,134,128,159,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,103,31,15,0,63,7,|0,231,255,135,63,135,158,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,103,71,7,7,7,15,|0,255,255,159,143,135,159,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,127,64,31,0,15,12,|0,255,255,159,135,135,159,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,127,64,31,0,63,7,|0,255,255,135,159,159,159,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,127,79,31,4,15,31,|0,255,7,159,159,135,159,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,127,127,7,7,31,31,|0,7,7,196,159,159,159,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,127,127,31,31,31,31,|0,255,15,159,159,159,207,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,127,127,31,31,7,31,|0,15,3,199,159,159,207,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,7,127,31,31,31,31,|0,255,31,231,198,159,255,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,127,127,64,31,31,31,|0,31,31,231,198,207,255,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,7,127,127,31,31,71,|0,31,31,255,207,255,255,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,31,7,103,31,31,71,|0,31,31,255,207,255,255,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,7,127,127,103,70,79,|0,31,31,255,255,255,255,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,31,127,127,79,115,127,|0,15,31,255,255,255,7,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,31,7,127,127,127,127,|0,39,39,3,255,255,31,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,31,7,127,103,127,127,|0,62,15,4,231,255,31,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,31,7,127,126,127,127,|0,63,63,31,255,7,31,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,7,7,127,127,127,127,|0,63,63,31,255,7,31,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,15,31,127,127,127,7,|0,63,63,31,7,31,39,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,63,31,31,15,7,7,|0,6,7,7,14,12,39,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,39,31,31,7,31,31,|0,31,63,31,7,39,63,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,63,31,31,15,31,31,|0,71,15,31,7,63,15,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,63,39,31,1,7,31,|0,103,31,63,31,31,71,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,135,38,31,31,15,63,|0,263,31,63,31,31,71,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,159,63,31,63,127,134,|0,127,71,63,31,127,127,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,2511,2431,2431,2367,2463,2479,|0,831,751,703,636,815,831,|0,0,0,0,0,0,
ST|4095,4000,4000,4000,4000,4000,4000,|0,2559,2463,2447,2351,2495,2495,|0,895,767,703,639,847,895,|0,0,0,0,0,0,
ST|4095,4050,4000,4000,4000,4041,4009,|0,2575,2495,2487,2415,2559,2559,|0,950,799,767,639,959,991,|0,0,0,0,0,0,          //DAC-settings react and take control
ST|4095,4027,4000,4000,4000,3938,3922,|0,2654,2542,2519,2435,2607,2623,|0,1023,831,831,703,1103,1087,|0,0,0,0,0,0,
ST|4095,3876,4089,4041,4000,3664,3643,|0,2751,2623,2623,2495,2719,2735,|0,1151,911,959,767,1274,1279,|0,0,0,0,0,0,
ST|4095,3597,4000,3890,4000,3193,3172,|0,2815,2687,2751,2623,2790,2814,|0,1279,959,1151,895,1471,1471,|0,0,0,0,0,0,
ST|4095,3115,3905,3435,3977,2850,2829,|0,2943,2879,3007,2815,2063,2047,|0,1482,1095,1455,1023,1343,1343,|0,0,0,0,0,0,
ST|4095,2900,3434,2828,3698,2699,2678,|0,2223,3199,2815,3199,1663,1599,|0,1215,1471,1607,1279,1151,1151,|0,0,0,0,0,0,
ST|4095,2749,2691,2517,3227,2612,2591,|0,1990,3071,1809,3327,1567,1535,|0,1151,1743,1311,1471,1087,1087,|0,0,0,0,0,0,
ST|4095,2662,2492,2494,2884,2525,2504,|0,1919,1791,1407,2815,1599,1597,|0,1087,1199,1023,1343,1087,1087,|0,0,0,0,0,0,
ST|4095,2511,2405,2471,2733,2502,2481,|0,1855,1535,1471,2239,1535,1503,|0,1151,1087,1023,1151,1023,1023,|0,0,0,0,0,0,
ST|4095,2360,2286,2448,2646,2506,2458,|0,1599,1407,1503,2047,1583,1535,|0,1151,1119,1023,1087,996,1023,|0,0,0,0,0,0,
ST|4095,2241,2199,2425,2591,2483,2435,|0,1407,1263,1535,1919,1663,1535,|0,1119,1087,1023,1055,1023,1023,|0,0,0,0,0,0,

//Beyond this, the resistance jumps back up and everything is fine.
